Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,6,20,06:00,UTC,,,,11.2,,
2011,6,21,00:00,UTC,15.6,-1,12.9,,16.2,10.9
2011,6,21,06:00,UTC,,,,11.8,,
2011,6,22,00:00,UTC,1.2,-1,12.4,,14.7,10.5
2011,6,22,06:00,UTC,,,,10,,
2011,6,23,00:00,UTC,2.3,-1,16.9,,22.3,11.6
2011,6,23,06:00,UTC,,,,10.3,,
2011,6,24,00:00,UTC,3,-1,14.1,,18.2,12.2
2011,6,24,06:00,UTC,,,,12.6,,
2011,6,25,00:00,UTC,6.1,-1,14.4,,18.3,11.2
2011,6,25,06:00,UTC,,,,11.2,,
2011,6,26,00:00,UTC,9.6,-1,15.3,,20.7,12.1
2011,6,26,06:00,UTC,,,,11.2,,
2011,6,27,00:00,UTC,-1,-1,17,,21.7,13.1
2011,6,27,06:00,UTC,,,,12.4,,
2011,6,28,00:00,UTC,-1,-1,18.1,,23.5,10.3
2011,6,28,06:00,UTC,,,,7.3,,
2011,6,29,00:00,UTC,-1,-1,21.8,,28.1,12.5
2011,6,29,06:00,UTC,,,,10.1,,
2011,6,30,00:00,UTC,-1,-1,21.2,,27,14.3
2011,6,30,06:00,UTC,,,,11.6,,
2011,7,1,00:00,UTC,4,-1,20.6,,26.5,13.6
2011,7,1,06:00,UTC,,,,11.2,,
2011,7,2,00:00,UTC,-1,-1,19.1,,23.1,16.3
2011,7,2,06:00,UTC,,,,15.4,,
2011,7,3,00:00,UTC,-1,-1,15.5,,19.2,13
2011,7,3,06:00,UTC,,,,13.5,,
2011,7,4,00:00,UTC,-1,-1,15.1,,19.7,10.1
2011,7,4,06:00,UTC,,,,8.7,,
2011,7,5,00:00,UTC,-1,-1,16.8,,22.4,11
2011,7,5,06:00,UTC,,,,7.3,,
2011,7,6,00:00,UTC,-1,-1,17.4,,22.2,10.5
2011,7,6,06:00,UTC,,,,7.5,,
2011,7,7,00:00,UTC,-1,-1,19.7,,25.7,11.2
2011,7,7,06:00,UTC,,,,7.9,,
2011,7,8,00:00,UTC,-1,-1,23.1,,29.4,14.4
2011,7,8,06:00,UTC,,,,11,,
2011,7,9,00:00,UTC,17.4,-1,22.3,,30.2,17.2
2011,7,9,06:00,UTC,,,,14.1,,
2011,7,10,00:00,UTC,32,-1,19.6,,25.8,16.2
2011,7,10,06:00,UTC,,,,14.7,,
